518880.SH,159611.SZ,159870.SZ,159819.SZ,159869.SZ,512980.SH,512800.SH,515030.SH,515880.SH,512660.SH,159928.SZ,515790.SH,512690.SH,159949.SZ,513060.SH,159995.SZ,159941.SZ,512880.SH,513050.SH,512010.SH,510880.SH,588000.SH
2023-10-09,4.436,0.871,0.635,0.777,1.088,0.771,1.124,1.288,1.117,1.004,0.911,1.011,0.778,0.839,0.474,0.946,0.814,0.947,0.999,0.428,3.077,0.932
2023-10-10,4.405,0.879,0.633,0.78,1.075,0.76,1.117,1.281,1.112,1.01,0.904,1.005,0.774,0.836,0.471,0.952,0.826,0.935,1.012,0.433,3.072,0.93
2023-10-11,4.348,0.871,0.63,0.779,1.073,0.761,1.117,1.28,1.119,1.008,0.9,0.992,0.767,0.831,0.467,0.962,0.839,0.932,1.02,0.426,3.043,0.924
2023-10-12,4.355,0.867,0.629,0.794,1.087,0.769,1.113,1.277,1.132,0.996,0.901,0.994,0.766,0.838,0.48,0.973,0.847,0.93,1.032,0.435,3.034,0.937
2023-10-13,4.39,0.874,0.637,0.789,1.068,0.76,1.13,1.316,1.122,0.996,0.905,1.007,0.768,0.846,0.489,0.976,0.852,0.941,1.041,0.437,3.06,0.943
2023-10-16,4.405,0.87,0.628,0.773,1.043,0.744,1.13,1.292,1.107,0.981,0.888,0.988,0.751,0.834,0.483,0.975,0.847,0.931,1.012,0.435,3.056,0.934
2023-10-17,4.46,0.871,0.622,0.76,1.027,0.736,1.129,1.261,1.091,0.973,0.875,0.967,0.741,0.817,0.476,0.949,0.839,0.929,1.002,0.428,3.075,0.916
2023-10-18,4.48,0.878,0.626,0.761,1.028,0.736,1.132,1.269,1.092,0.977,0.88,0.968,0.74,0.817,0.478,0.958,0.845,0.942,1.005,0.427,3.071,0.924
2023-10-19,4.523,0.865,0.616,0.746,1.009,0.719,1.13,1.26,1.063,0.961,0.877,0.951,0.738,0.807,0.466,0.947,0.84,0.941,1,0.42,3.048,0.913
2023-10-20,4.547,0.852,0.607,0.743,1.011,0.716,1.102,1.231,1.046,0.95,0.85,0.945,0.714,0.799,0.459,0.953,0.829,0.935,0.986,0.415,3.003,0.911
