code,alpha001
sh.600027,-0.15967556478676892
sh.600028,0.6096093081512428
sh.600029,-0.4657021542928862
sh.600030,-0.31191898252913103
sh.600031,-0.36298651088230516
sh.600032,-0.21514703258473586
sh.600033,-0.8143674858712335
sh.600035,0.46653158194012656
sh.600036,0.37587689989316586
sh.600037,-0.8172874071671267
sh.600038,-0.6602946044558878
sh.600039,-0.9810003328497114
sh.600048,-0.8968987317364019
sh.600176,-0.5465877728051446
sh.600177,-0.7289139442974925
sh.600178,-0.7691030669075836
sh.600179,-0.48363846715051534
sh.600180,-0.20560399986052072
sh.600182,0.10505373751226323
sh.600183,0.23437117284466158
sh.600184,-0.9217059231920819
sh.600185,0.4175942879624161
sh.600186,-0.368864578784562
sh.600187,-0.3043813493126318
sh.600188,-0.5772548853132403
sh.600050,-0.96286317660246
sh.600051,-0.2032716581457363
sh.600052,-0.975979448912174
sh.600053,-0.7559052466716278
sh.600054,-0.33316984199141614
sh.600055,-0.3750552090843756
sh.600056,-0.45420874175795795
sh.600057,-0.43611684895595637
sh.600189,-0.683344079576962
sh.600191,-0.4657438181801241
sh.600192,0.12572550645547234
sh.600193,-0.6101264260091719
sh.600195,-0.45492671063444345
sh.600196,-0.8142156259866127
sh.600197,-0.8150003248632528
sh.600058,-0.7048680909856847
sh.600059,-0.04351515359646902
sh.600060,0.923329245086858
sh.600061,-0.7437290061387121
sh.600062,-0.8674703073515547
sh.600063,-0.7431936384398332
sh.600064,-0.6282283427437929
sh.600066,-0.9644729921908606
sh.600067,-0.8333768618924238
sh.600198,-0.7755695453136745
sh.600199,-0.8961741692716306
sh.600200,-0.17619475836527992
sh.600201,-0.5855765840223442
sh.600202,-0.4575186521135986
sh.600203,-0.6432409018606192
sh.600206,0.18820745681689677
sh.600207,-0.3906267875833499
sh.600208,-0.9788684985499002
sh.600071,0.1513270326203
sh.600072,-0.8085335325116075
sh.600073,-0.12095152677264098
sh.600075,0.06999445229939348
sh.600076,-0.36522601806535265
sh.600078,-0.18627427822548798
sh.600079,0.0061427743089949634
sh.600080,-0.18797322452715493
sh.600210,0.07131553498047602
sh.600211,-0.4502251916808615
sh.600212,-0.280098721639141
sh.600081,-0.6427846770762583
sh.600082,-0.819262497397308
sh.600084,-0.32152077675825397
sh.600085,-0.2486693642636337
sh.600088,-0.776580899127182
sh.600089,-0.11589824061246015
sh.600094,-0.4851456404271856
sh.600095,-0.9605048240064377
sh.600096,-0.10648002430311523
sh.600097,-0.5746657690193074
sh.600098,-0.7710174332683419
sh.600099,0.2830606299156271
sh.600100,-0.8974845286282976
sh.600101,-0.6029166226340349
sh.600000,0.6398550130937942
sh.600004,0.08334922759384569
sh.600006,-0.8271491453846489
sh.600007,-0.5276626907585552
sh.600008,-0.13275850522841717
sh.600009,-0.28737502168634244
sh.600010,-0.4042699368374223
sh.600011,-0.8246543890284307
sh.600012,0.38052215052321653
sh.600015,-0.3351919832840439
sh.600016,0.04201599183589615
sh.600017,-0.777429544795303
sh.600018,0.6532114844666851
sh.600019,-0.4797594104766887
sh.600020,0.5808124950110553
sh.600021,-0.8254875106248516
sh.600022,-0.7953495616357572
sh.600023,-0.24202074922410274
sh.600025,-0.7997701695141798
sh.600026,0.3329151345989666
sh.600027,-0.15967556478676892
sh.600028,0.6096093081512428
sh.600029,-0.4657021542928862
sh.600030,-0.31191898252913103
sh.600031,-0.36298651088230516
sh.600032,-0.21514703258473586
sh.600033,-0.8143674858712335
sh.600035,0.46653158194012656
sh.600036,0.37587689989316586
sh.600037,-0.8172874071671267
sh.600038,-0.6602946044558878
sh.600039,-0.9810003328497114
sh.600048,-0.8968987317364019
sh.600050,-0.96286317660246
sh.600051,-0.2032716581457363
sh.600052,-0.975979448912174
sh.600053,-0.7559052466716278
sh.600054,-0.33316984199141614
sh.600055,-0.3750552090843756
sh.600056,-0.45420874175795795
sh.600057,-0.43611684895595637
sh.600058,-0.7048680909856847
sh.600059,-0.04351515359646902
sh.600060,0.923329245086858
sh.600061,-0.7437290061387121
sh.600062,-0.8674703073515547
sh.600063,-0.7431936384398332
sh.600064,-0.6282283427437929
sh.600066,-0.9644729921908606
sh.600067,-0.8333768618924238
sh.600071,0.1513270326203
sh.600072,-0.8085335325116075
sh.600073,-0.12095152677264098
sh.600075,0.06999445229939348
sh.600076,-0.36522601806535265
sh.600078,-0.18627427822548798
sh.600079,0.0061427743089949634
sh.600080,-0.18797322452715493
sh.600081,-0.6427846770762583
sh.600082,-0.819262497397308
sh.600084,-0.32152077675825397
sh.600085,-0.2486693642636337
sh.600088,-0.776580899127182
sh.600089,-0.11589824061246015
sh.600094,-0.4851456404271856
sh.600095,-0.9605048240064377
sh.600096,-0.10648002430311523
sh.600097,-0.5746657690193074
sh.600098,-0.7710174332683419
sh.600099,0.2830606299156271
sh.600100,-0.8974845286282976
sh.600101,-0.6029166226340349
sh.600103,-0.6844085612333137
sh.600104,-0.57659648288911
sh.600105,-0.15560844908274385
sh.600106,-0.36268390732430994
sh.600107,0.05153105177178505
sh.600108,-0.6281211443417426
sh.600109,-0.44290616235392216
sh.600110,-0.7684561278072349
sh.600111,-0.9570278006513284
sh.600113,-0.3946313245066687
sh.600114,-0.8349912203545748
sh.600115,-0.755582451779856
sh.600116,-0.6835389313583704
sh.600117,-0.5763249099806839
sh.600118,-0.6670269502716691
sh.600119,-0.23652340938003422
sh.600120,-0.4057067725905859
sh.600121,-0.32013861242545294
sh.600123,-0.33964887530385446
sh.600125,-0.23810289485107866
sh.600126,-0.12456042533260078
sh.600127,-0.329186672743152
sh.600128,-0.7361068262333282
sh.600129,-0.6986484609632446
sh.600130,-0.8661652150922948
sh.600131,-0.5448110482329332
sh.600133,-0.6286022327251979
sh.600135,-0.6437011930440051
sh.600137,-0.7195944256009824
sh.600138,-0.5823569111119958
sh.600141,-0.3115402059111331
sh.600143,-0.8203766518465133
sh.600148,-0.6641346834953242
sh.600149,-0.45457165713220726
sh.600150,-0.7980065542685512
sh.600151,0.7515767905069953
sh.600152,-0.8646782519281161
sh.600153,-0.5645041273462112
sh.600155,-0.11858135155702605
sh.600156,0.3590030059363254
sh.600157,-0.6197476376995162
sh.600158,-0.06353714685386812
sh.600159,-0.5769680808916375
sh.600160,-0.6561106804240737
sh.600161,-0.6948525398856744
sh.600162,-0.9648389367426885
sh.600163,-0.45821263088659925
sh.600166,-0.8216998108914024
sh.600167,0.14106035302522274
sh.600168,-0.7354840937561986
sh.600169,-0.7148990329271349
sh.600170,-0.9165763201591101
