code,close,adjfactor,tradestatus,rn
sz.002004,4.06,11.015100673712734,1,1
sz.002006,17.2,3.0947498189379212,1,1
sz.002007,16.38,5.757272148187896,1,1
sz.002008,23.1,1.7412183939944685,1,1
sz.002011,11.29,2.136364385299809,1,1
sz.002012,4.65,2.099911102785786,1,1
sz.002014,10.68,6.328200665987127,1,1
sz.002015,7.16,1.3508307010360696,1,1
sz.002016,5.56,1.8011848404850581,1,1
sz.002017,9.79,2.890815304683354,1,1
sz.002023,9.23,2.944066781631712,1,1
sz.002025,51.0,1.4579343633374842,1,1
sz.002026,10.27,1.9371610019234309,1,1
sz.002027,7.2,4.417001444418763,1,1
sz.002028,71.97,1.9507628267929111,1,1
sz.002029,6.26,2.601883130724702,1,1
sz.002032,56.21,2.7342009388460053,1,1
sz.002033,8.86,4.054170886978875,1,1
sz.002034,17.82,2.1659055217282406,1,1
sz.002038,6.43,4.621437533487568,1,1
sz.002039,15.6,2.631541921313172,1,1
sz.002040,6.67,1.4074598855460856,1,1
sz.002041,10.14,5.246131650018956,1,1
sz.002043,10.32,4.174198104502612,1,1
sz.002045,14.2,1.6841474887475303,1,1
sz.002046,15.33,2.5825032714165683,1,1
sz.002048,16.7,1.4070546149195395,1,1
sz.002049,63.98,2.9303767137861136,1,1
sz.002050,26.8,10.791145619231306,1,1
sz.002051,7.93,5.302168059907307,1,1
sz.002053,10.9,2.14281629344239,1,1
sz.002054,6.31,2.1524729450840674,1,1
sz.002055,5.71,2.6838817946491584,1,1
sz.002057,7.8,5.081999910954931,1,1
sz.002060,3.46,3.4292939097696564,1,1
sz.002061,3.85,3.2561242302824818,1,1
sz.002062,4.76,4.593804911831401,1,1
sz.002063,5.69,9.78811368163583,1,1
sz.002064,6.69,4.619164439195545,1,1
sz.002065,9.8,6.99534562146881,1,1
sz.002066,10.73,2.1175250086412114,1,1
sz.002073,7.8,1.562369750419536,1,1
sz.002074,20.66,2.18166295796157,1,1
sz.002075,5.87,1.4983346318051518,1,1
sz.002077,13.86,1.0258326380679625,1,1
sz.002078,14.01,4.8914996795145695,1,1
sz.002079,9.15,2.4632399012740183,1,1
sz.002080,13.77,5.233577804289344,1,1
sz.002081,3.47,13.832351117528512,1,1
sz.002083,4.44,1.4026500923411676,1,1
sz.002085,16.71,7.165059189866866,1,1
sz.002088,11.98,3.095307376462584,1,1
sz.002090,8.9,3.7303311073168572,1,1
sz.002091,7.16,4.096784609321684,1,1
sz.002093,11.11,3.0789805111651445,1,1
sz.002094,6.92,2.5879989469200364,1,1
sz.002096,12.16,2.160982631243611,1,1
sz.002097,6.99,2.469536282150037,1,1
sz.002098,9.3,2.289501646248284,1,1
sz.002099,4.99,4.70864704276606,1,1
sz.002100,6.35,5.263977340167535,1,1
sz.002101,11.72,4.104680669413811,1,1
sz.002102,2.87,6.073955895941472,1,1
sz.002103,9.25,1.9738399445803954,1,1
sz.002104,7.91,2.654293027523003,1,1
sz.002106,9.47,2.1328469395671434,1,1
sz.002107,4.88,4.091037156024458,1,1
sz.002108,3.45,14.23446784064126,1,1
sz.002110,3.77,2.3791315687526846,1,1
sz.002111,9.39,3.052685242449876,1,1
sz.002112,12.99,2.381434322788968,1,1
sz.002116,9.58,4.561203057344276,1,1
sz.002117,11.92,6.211453415934655,1,1
sz.002119,15.29,1.8989230186315282,1,1
sz.002120,6.78,2.8902913506024324,1,1
sz.002121,4.59,3.8394975503977617,1,1
sz.002122,3.3,2.1117573385650794,1,1
sz.002123,13.76,2.289281833448948,1,1
sz.002125,9.83,4.262308090832889,1,1
sz.002126,25.42,5.568004977517292,1,1
sz.002128,17.85,1.8519033316274909,1,1
sz.002130,18.33,6.93083158689279,1,1
sz.002131,3.73,21.883578576302586,1,1
sz.002132,3.18,4.005930033247259,1,1
sz.002134,17.68,1.0,1,1
sz.002135,4.08,3.254857339769905,1,1
sz.002137,7.48,1.6570954767270152,1,1
sz.002138,27.84,5.259500439386304,1,1
sz.002139,13.99,6.046504168424216,1,1
sz.002140,9.65,4.268514229833232,1,1
sz.002142,23.9,2.2799151153743473,1,1
sz.002144,10.72,1.1586616553869007,1,1
sz.002145,4.08,4.562943660613717,1,1
sz.002149,18.41,2.202017855152659,1,1
sz.002150,10.92,3.8925704408305744,1,1
sz.002152,12.34,7.220651981998914,1,1
sz.002153,8.33,11.011853765681794,1,1
sz.002154,3.82,5.719513470020639,1,1
sz.002155,22.38,1.9368014978907013,1,1
sz.002156,25.62,2.145946463942965,1,1
sz.002157,2.76,5.389224715777901,1,1
sz.002158,16.55,3.9573454955452987,1,1
sz.002159,15.08,1.0304267385352601,1,1
sz.002160,3.7,2.0861821133105938,1,1
sz.002164,8.99,2.075093150937978,1,1
sz.002165,12.44,3.728623019467571,1,1
sz.002166,7.31,7.497580342655527,1,1
sz.002167,8.9,6.015584415584415,1,1
sz.002170,9.69,2.551609901109161,1,1
sz.002171,8.48,4.647486999678892,1,1
sz.002172,3.57,1.500493583415597,1,1
sz.002174,9.42,3.0776513552539195,1,1
sz.002177,4.49,2.9375648218718755,1,1
sz.002179,40.63,6.5046250144566224,1,1
sz.002180,21.98,3.1531241812119504,1,1
sz.002181,5.48,1.7596567773770937,1,1
sz.002182,11.96,4.700721561832965,1,1
sz.002183,4.87,4.950882343346612,1,1
sz.002186,10.4,2.3188023754659564,1,1
sz.002187,6.87,2.4474093369716696,1,1
sz.002188,4.83,1.3064713064713065,1,1
sz.002190,16.62,2.170097638086637,1,1
sz.002191,3.6,3.1379031438874416,1,1
sz.002192,27.18,1.5383336999965869,1,1
sz.002194,11.96,1.4218728313550435,1,1
sz.002195,5.15,23.097661409404008,1,1
sz.002198,6.88,5.117926989179672,1,1
sz.002201,6.51,5.6718853741226525,1,1
sz.002202,8.75,2.937351319049617,1,1
sz.002203,9.56,3.8100088745454497,1,1
sz.002204,5.98,4.844405260087757,1,1
sz.002206,4.92,11.726853816086065,1,1
sz.002208,6.4,3.678613673854746,1,1
sz.002209,11.38,1.5512336509887235,1,1
sz.002215,9.46,5.033979860448773,1,1
sz.002216,11.53,5.074194277434508,1,1
sz.002219,2.28,11.066045113717138,1,1
sz.002221,8.18,4.379830016823194,1,1
sz.002222,34.58,2.8610443016525444,1,1
sz.002223,34.46,6.310347229983917,1,1
sz.002224,4.35,5.9391067967369935,1,1
sz.002225,5.34,1.4947911823432343,1,1
sz.002226,5.35,10.163001140165028,1,1
sz.002228,3.17,5.8385772081728735,1,1
sz.002229,15.88,3.0065960817100006,1,1
sz.002233,7.4,3.50936825074554,1,1
sz.002236,15.72,47.74110856276594,1,1
sz.002237,10.81,4.195655811057669,1,1
sz.002239,2.85,6.033623013635023,1,1
sz.002241,21.18,11.72023122950753,1,1
sz.002242,9.5,2.8596527454818914,1,1
sz.002244,10.36,2.532370361307136,1,1
sz.002245,12.68,6.951015222320275,1,1
sz.002246,10.7,1.6321094105091836,1,1
sz.002247,2.53,6.450919009662533,1,1
sz.002248,8.07,2.018628575146424,1,1
sz.002249,6.93,6.682216062971589,1,1
sz.002250,6.32,6.036236239587909,1,1
sz.002251,6.2,2.4767896191025542,1,1
sz.002252,6.71,23.974605615516758,1,1
sz.002254,10.2,4.611143302122724,1,1
sz.002255,8.37,4.1264565676997895,1,1
sz.002258,10.19,3.5102307193396314,1,1
sz.002262,22.33,5.878663297180306,1,1
sz.002263,2.49,3.0147564392883743,1,1
sz.002264,6.36,4.6063914160703,1,1
sz.002265,20.94,1.0026448725566048,1,1
sz.002266,3.15,11.544365425387953,1,1
sz.002267,8.52,2.997187922563746,1,1
sz.002269,1.72,2.9601895073742357,1,1
sz.002270,15.0,2.5277132393162884,1,1
sz.002271,11.17,26.328976581798692,1,1
sz.002273,19.6,11.52321715984758,1,1
sz.002274,6.99,3.61155453178173,1,1
sz.002275,13.65,2.0563956413440274,1,1
sz.002276,14.81,3.860057860354185,1,1
sz.002277,5.34,6.377738088367718,1,1
sz.002278,7.93,2.23819547833748,1,1
sz.002281,42.71,3.35392205612225,1,1
sz.002282,7.25,2.3017318963673263,1,1
sz.002283,6.17,4.513725328069906,1,1
sz.002284,11.0,6.656349214401473,1,1
sz.002286,9.22,3.698676808596625,1,1
sz.002287,23.78,1.6521910847686936,1,1
sz.002290,25.8,2.6571308007212644,1,1
sz.002292,8.93,7.9123627004881385,1,1
sz.002293,9.03,9.027094197537961,1,1
sz.002294,40.9,11.785962889082784,1,1
sz.002295,7.63,1.5983439984006769,1,1
sz.002296,10.93,5.183503469396104,1,1
sz.002298,5.75,3.144381413020163,1,1
sz.002300,5.67,7.8526608061200065,1,1
sz.002301,6.9,4.917354324596251,1,1
sz.002303,3.49,12.091060120257856,1,1
sz.002304,68.6,4.873022378070638,1,1
sz.002311,55.48,7.1227759064449145,1,1
sz.002312,11.01,18.914267772927367,1,1
sz.002314,2.57,2.393409154682848,1,1
sz.002315,42.3,3.9175088840664083,1,1
sz.002317,11.13,11.248356221959288,1,1
sz.002318,23.4,6.4954420752003825,1,1
sz.002320,5.91,14.17404278370896,1,1
sz.002322,12.26,5.5928296796081485,1,1
sz.002324,10.33,8.259528464403973,1,1
sz.002327,7.78,13.12951548986213,1,1
sz.002328,5.46,3.158316487558982,1,1
sz.002329,3.06,5.8735235029539785,1,1
sz.002330,4.27,2.0601957465209955,1,1
sz.002332,8.98,2.745624617833879,1,1
sz.002333,5.13,3.739885374765678,1,1
sz.002334,7.71,12.063511020265276,1,1
sz.002335,42.65,5.9165914338632275,1,1
sz.002337,5.09,5.273826346008535,1,1
sz.002338,37.85,3.27049751710019,1,1
sz.002340,6.12,24.464870536112702,1,1
sz.002344,4.14,4.530214855027395,1,1
sz.002345,9.89,8.096449450582687,1,1
sz.002346,13.1,2.342276743930222,1,1
sz.002349,6.96,8.094086182676346,1,1
sz.002350,6.26,4.903024144504854,1,1
sz.002351,13.01,7.438399143266669,1,1
sz.002352,43.52,3.692450749869208,1,1
sz.002353,31.4,8.524984246456702,1,1
sz.002354,6.44,2.873700698181085,1,1
sz.002355,6.26,2.0864812770686494,1,1
sz.002357,7.5,4.492252315919813,1,1
sz.002358,5.08,8.551308340818242,1,1
sz.002360,4.69,7.201464636849006,1,1
sz.002361,5.75,9.882179309513432,1,1
sz.002363,7.16,2.8772387587488275,1,1
sz.002364,14.0,6.680205754407738,1,1
sz.002366,4.76,2.3317458238810302,1,1
sz.002367,7.22,9.122247455104045,1,1
sz.002368,24.05,5.5884512375780435,1,1
sz.002371,450.96,4.771402371585745,1,1
sz.002372,11.8,9.268093959155031,1,1
sz.002375,3.61,6.214688440941847,1,1
sz.002376,6.62,5.007616875560008,1,1
sz.002377,2.92,4.335484549679442,1,1
sz.002378,6.63,2.822222439713401,1,1
sz.002380,25.16,3.3508462556064798,1,1
sz.002381,6.39,6.238644458963805,1,1
sz.002383,8.55,4.798035396095527,1,1
sz.002384,25.88,7.563833077630625,1,1
sz.002385,4.08,10.65705404102549,1,1
sz.002386,4.38,2.4572276505248682,1,1
sz.002390,3.42,10.791577481958386,1,1
sz.002391,5.26,6.39463884344575,1,1
sz.002392,6.03,8.629985253188037,1,1
sz.002393,16.18,1.7653638269744623,1,1
sz.002394,7.83,5.154897705409517,1,1
sz.002395,16.66,3.288786177073273,1,1
sz.002396,19.33,3.3372426673815134,1,1
sz.002397,3.7,12.91253417785164,1,1
sz.002398,4.65,6.541885857384026,1,1
sz.002399,10.88,3.7931943049460517,1,1
sz.002400,7.27,18.8069983038921,1,1
sz.002401,14.2,7.32617602233599,1,1
sz.002402,19.74,12.477270215560287,1,1
sz.002403,14.23,1.4627412710767804,1,1
sz.002404,5.89,6.0525889729030755,1,1
sz.002406,7.26,4.162933302348321,1,1
sz.002407,11.62,8.24857298361213,1,1
sz.002408,4.45,9.267586360207313,1,1
sz.002409,55.16,3.2252582780961747,1,1
sz.002410,14.75,18.07639321516539,1,1
sz.002412,5.55,7.684343907459174,1,1
sz.002414,8.25,14.376437787545902,1,1
sz.002415,28.21,22.965711388983543,1,1
sz.002416,11.62,3.4173462032749518,1,1
sz.002418,3.4,4.997188521775899,1,1
sz.002419,5.33,4.377302289391746,1,1
sz.002420,5.64,1.0184533592322256,1,1
sz.002422,36.21,7.112475525391486,1,1
sz.002423,11.89,1.0838971822220693,1,1
sz.002427,5.95,2.049215533782727,1,1
sz.002428,18.58,5.299586337512387,1,1
sz.002429,4.31,9.297991762278842,1,1
sz.002430,19.93,2.3918620091599716,1,1
sz.002432,37.8,3.3409946452279753,1,1
sz.002434,7.34,7.527960226754158,1,1
sz.002436,12.52,13.443155102984116,1,1
sz.002437,2.46,15.847685984088004,1,1
sz.002438,10.85,4.245676783454859,1,1
sz.002440,6.96,5.766665554471175,1,1
sz.002441,8.59,5.370593786518912,1,1
sz.002442,6.1,2.6534826024371188,1,1
sz.002443,5.77,4.149931616629455,1,1
sz.002444,23.28,4.565158071216349,1,1
sz.002445,2.24,7.2115413303514835,1,1
sz.002446,6.4,4.9719040548033515,1,1
sz.002448,7.83,6.014872797386646,1,1
sz.002449,8.56,3.1027181649638047,1,1
sz.002451,6.25,3.066896443427728,1,1
sz.002452,6.9,5.776857848861928,1,1
sz.002454,7.36,2.963075960677383,1,1
sz.002455,7.15,6.376514785995791,1,1
sz.002461,10.58,2.2204158272170993,1,1
sz.002462,11.94,1.8379144159659317,1,1
sz.002463,27.9,3.1880659957331288,1,1
sz.002465,10.38,7.15884954604535,1,1
sz.002466,28.81,8.411343976787936,1,1
sz.002467,5.26,11.895932906453865,1,1
sz.002468,10.67,2.246642156564243,1,1
sz.002469,8.8,10.250591679844229,1,1
sz.002472,33.7,5.200432782512572,1,1
sz.002475,30.85,34.32846452525322,1,1
sz.002476,4.3,5.250371151297804,1,1
sz.002478,5.17,2.8048535867124618,1,1
sz.002479,5.15,4.482952186298745,1,1
sz.002481,5.32,18.753318919119103,1,1
sz.002483,6.1,3.2862950441419048,1,1
sz.002484,18.24,4.900730531289296,1,1
sz.002486,2.18,4.197042198871655,1,1
sz.002487,27.58,4.660878289600062,1,1
sz.002488,13.8,6.174710188475214,1,1
sz.002489,3.49,12.171255435885165,1,1
sz.002492,5.4,3.3666930937500936,1,1
sz.002493,8.33,15.465515708977284,1,1
sz.002494,4.47,2.7014239013045644,1,1
sz.002495,2.45,9.71317571715614,1,1
sz.002497,11.2,6.812186478142623,1,1
sz.002498,3.19,8.27953742694711,1,1
sz.002500,5.64,1.2528316292034567,1,1
sz.002507,13.11,7.605851854113526,1,1
sz.002508,19.57,7.584149390610458,1,1
sz.002510,5.59,4.373674176159999,1,1
sz.002511,6.6,8.263044032021954,1,1
sz.002515,5.12,11.198977742426772,1,1
sz.002516,5.03,9.427815655808823,1,1
sz.002517,17.0,6.414350096271822,1,1
sz.002518,22.55,5.838131165139617,1,1
sz.002521,8.99,3.6049424828071355,1,1
