index,name,count
801010.SI,农林牧渔,101
801030.SI,基础化工,397
801040.SI,钢铁,45
801050.SI,有色金属,138
801080.SI,电子,461
801880.SI,汽车,271
801110.SI,家用电器,95
801120.SI,食品饮料,123
801130.SI,纺织服饰,104
801140.SI,轻工制造,155
801150.SI,医药生物,476
801160.SI,公用事业,132
801170.SI,交通运输,125
801180.SI,房地产,102
801200.SI,商贸零售,100
801210.SI,社会服务,77
801780.SI,银行,42
801790.SI,非银金融,84
801230.SI,综合,20
801710.SI,建筑材料,71
801720.SI,建筑装饰,157
801730.SI,电力设备,353
801890.SI,机械设备,528
801740.SI,国防军工,140
801750.SI,计算机,336
801760.SI,传媒,130
801770.SI,通信,127
801950.SI,煤炭,37
801960.SI,石油石化,48
801970.SI,环保,134
801980.SI,美容护理,31
