,代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
0,512680,军工ETF龙头,0.901,0.9027,0.19,0.028,3.21,427071.0,38342656.0,0.878,0.908,0.874,0.873,3.89,1.16,1.42,-1.6,250317.0,176754.0,2427254.0,6.33,1944917.0,5.07,482337.0,1.26,-297257.0,-0.78,-2129997.0,-5.56,-50.0,0.901,0.902,3693730096.0,3328050816,3328050816,2024-06-28,2024-06-28 16:11:59+08:00
1,512660,军工ETF,0.879,0.8795,0.06,0.027,3.17,4286320.0,375232123.0,0.852,0.885,0.851,0.852,3.99,4.78,2.28,-40.68,2589557.0,1696763.0,56703856.0,15.11,66334988.0,17.68,-9631132.0,-2.57,-34324770.0,-9.15,-22379086.0,-5.96,-225.0,0.879,0.88,8965080064.0,7880305376,7880305376,2024-06-28,2024-06-28 16:11:43+08:00
2,512810,国防军工ETF,1.009,1.0107,0.17,0.03,3.06,640669.0,64331256.0,0.979,1.016,0.975,0.979,4.19,13.58,1.35,36.49,374687.0,265982.0,6231018.0,9.69,4419184.0,6.87,1811834.0,2.82,-3098647.0,-4.82,-3132371.0,-4.87,-4.0,1.009,1.01,471791696.0,476037821,476037821,2024-06-28,2024-06-28 16:11:33+08:00
3,512710,军工龙头ETF,0.542,0.5426,0.11,0.016,3.04,3455378.0,186940400.0,0.526,0.546,0.524,0.526,4.18,4.2,2.18,-38.07,2243266.0,1212112.0,17700662.0,9.47,31033007.0,16.6,-13332345.0,-7.13,-12917883.0,-6.91,-4782778.0,-2.56,-1.0,0.542,0.543,8226658304.0,4458848801,4458848801,2024-06-28,2024-06-28 16:11:32+08:00
4,517520,黄金股ETF,1.187,1.1904,0.29,0.035,3.04,840010.0,99055588.0,1.16,1.196,1.16,1.152,3.13,8.51,1.56,-20.74,511982.0,328028.0,20718057.0,20.92,27261471.0,27.52,-6543414.0,-6.61,-12636974.0,-12.76,-8081082.0,-8.16,-2.0,1.187,1.188,987404000.0,1172048548,1172048548,2024-06-28,2024-06-28 16:11:48+08:00
5,560860,工业有色ETF,0.787,0.7855,-0.19,0.023,3.01,487041.0,38063668.0,0.763,0.792,0.763,0.764,3.8,12.95,1.33,-3.11,264417.0,222624.0,3613734.0,9.49,-861118.0,-2.26,4474852.0,11.76,-3063277.0,-8.05,-550458.0,-1.45,50.0,0.786,0.787,376233008.0,296095377,296095377,2024-06-28,2024-06-28 16:11:50+08:00
6,159638,高端装备ETF,0.665,0.6643,-0.11,0.019,2.94,452665.0,29963955.986,0.645,0.669,0.644,0.646,3.87,3.91,1.31,-7.51,261965.0,190700.0,1623316.0,5.42,2300407.0,7.68,-677091.0,-2.26,-1203447.0,-4.02,-419868.0,-1.4,130.0,0.664,0.665,1157341936.0,769632387,769632387,2024-06-28,2024-06-28 15:34:30+08:00
7,512560,军工ETF易方达,0.532,0.5331,0.21,0.015,2.9,406782.0,21591066.0,0.516,0.536,0.515,0.517,4.06,3.69,1.41,-13.32,229885.0,176897.0,3006409.0,13.92,1992800.0,9.23,1013609.0,4.69,-1669772.0,-7.73,-1336636.0,-6.19,-656.0,0.532,0.533,1102127008.0,586331568,586331568,2024-06-28,2024-06-28 16:11:40+08:00
8,512670,国防ETF,0.603,0.6034,0.07,0.017,2.9,2041244.0,122957243.0,0.584,0.608,0.584,0.586,4.1,6.0,1.71,7.55,1112146.0,929098.0,17769909.0,14.45,15933415.0,12.96,1836494.0,1.49,-12906965.0,-10.5,-4862945.0,-3.95,249.0,0.602,0.603,3404652608.0,2053005523,2053005523,2024-06-28,2024-06-28 16:11:54+08:00
9,517090,央企共赢ETF,1.502,1.4978,-0.28,0.042,2.88,543877.0,80831854.0,1.46,1.504,1.458,1.46,3.15,12.33,2.76,-4.14,290284.0,253593.0,6878525.0,8.51,12000812.0,14.85,-5122287.0,-6.34,-773957.0,-0.96,-6104569.0,-7.55,-5000.0,1.5,1.505,441075008.0,662494662,662494662,2024-06-28,2024-06-28 16:11:51+08:00
10,517180,中国国企ETF,1.592,1.5889,-0.2,0.044,2.84,449101.0,70668050.0,1.544,1.598,1.544,1.548,3.49,5.87,1.78,46.95,225681.0,223420.0,-643264.0,-0.91,-8715548.0,-12.33,8072284.0,11.42,1835420.0,2.6,-1192157.0,-1.69,1200.0,1.586,1.587,764496304.0,1217078116,1217078116,2024-06-28,2024-06-28 16:11:57+08:00
11,517400,黄金股票ETF,0.959,0.9582,-0.08,0.026,2.79,108803.0,10362970.0,0.934,0.962,0.934,0.933,3.0,22.3,1.54,-18.38,81460.0,27343.0,2015233.0,19.45,-620473.0,-5.99,2635706.0,25.43,-1095123.0,-10.57,-920112.0,-8.88,100.0,0.956,0.958,48792000.0,46791528,46791528,2024-06-28,2024-06-28 16:11:56+08:00
12,159321,黄金股票ETF,0.929,0.9321,0.33,0.025,2.77,69332.0,6389465.956,0.905,0.933,0.905,0.904,3.1,5.36,1.42,-16.86,53607.0,15725.0,876475.0,13.72,-921000.0,-14.41,1797475.0,28.13,-485560.0,-7.6,-390914.0,-6.12,-100.0,0.929,0.93,129400397.0,120212969,120212969,2024-06-28,2024-06-28 15:34:21+08:00
13,561790,央企现代能源ETF,1.152,1.1511,-0.08,0.031,2.77,107495.0,12195258.0,1.121,1.155,1.121,1.121,3.03,17.64,0.66,-23.69,57969.0,49526.0,670711.0,5.5,0.0,0.0,670711.0,5.5,-484762.0,-3.98,-185948.0,-1.52,200.0,1.15,1.152,60934000.0,70195968,70195968,2024-06-28,2024-06-28 16:11:45+08:00
14,159315,黄金股ETF基金,0.979,0.9818,0.29,0.026,2.73,64385.0,6257339.624,0.955,0.983,0.955,0.953,2.94,2.93,0.67,-7.46,36929.0,27456.0,1825466.0,29.17,815686.0,13.04,1009780.0,16.14,-1407910.0,-22.5,-417557.0,-6.67,479.0,0.977,0.979,219589621.0,214978239,214978239,2024-06-28,2024-06-28 15:34:36+08:00
15,159322,黄金产业ETF,0.981,0.9838,0.28,0.026,2.72,25404.0,2482642.101,0.959,0.986,0.959,0.955,2.83,6.61,0.46,-10.66,10265.0,15138.0,468900.0,18.89,0.0,0.0,468900.0,18.89,-373628.0,-15.05,-95271.0,-3.84,-500.0,0.98,0.981,38411691.0,37681869,37681869,2024-06-28,2024-06-28 15:34:24+08:00
16,561560,电力ETF,1.259,1.2579,-0.09,0.033,2.69,243325.0,30278085.0,1.222,1.263,1.219,1.226,3.59,11.31,1.58,18.78,156040.0,87285.0,8054169.0,26.6,6564967.0,21.68,1489202.0,4.92,-4603844.0,-15.21,-3450324.0,-11.4,-20.0,1.259,1.26,215124200.0,270841368,270841368,2024-06-28,2024-06-28 16:12:01+08:00
17,561260,能源ETF,1.146,1.1453,-0.06,0.03,2.69,132066.0,14924512.0,1.116,1.149,1.115,1.116,3.05,7.9,1.12,81.23,88348.0,43718.0,-876.0,-0.01,282499.0,1.89,-283375.0,-1.9,169340.0,1.13,-168465.0,-1.13,12.0,1.145,1.148,167095200.0,191491099,191491099,2024-06-28,2024-06-28 16:11:42+08:00
18,159562,黄金股ETF,1.284,1.2861,0.16,0.033,2.64,345268.0,44051426.8,1.256,1.291,1.254,1.251,2.96,11.24,1.85,-26.17,222520.0,122748.0,4674775.0,10.61,4807718.0,10.91,-132943.0,-0.3,-1995821.0,-4.53,-2678954.0,-6.08,-7271.0,1.284,1.285,307130512.0,394355577,394355577,2024-06-28,2024-06-28 15:34:27+08:00
19,515680,央企创新ETF基金,1.422,1.4202,-0.13,0.036,2.6,27322.0,3866453.0,1.384,1.426,1.384,1.386,3.03,0.17,0.45,-48.39,10608.0,16714.0,-6364.0,-0.16,0.0,0.0,-6364.0,-0.16,44335.0,1.15,-37970.0,-0.98,500.0,1.419,1.422,1566264704.0,2227228409,2227228409,2024-06-28,2024-06-28 16:11:40+08:00
20,562850,央企能源ETF,1.148,1.1483,0.03,0.029,2.59,116391.0,13202790.0,1.119,1.152,1.117,1.119,3.13,6.54,1.05,-11.36,68862.0,47530.0,1223263.0,9.27,2153902.0,16.31,-930639.0,-7.05,-546281.0,-4.14,-676981.0,-5.13,1137.0,1.148,1.149,177981500.0,204322762,204322762,2024-06-28,2024-06-28 16:11:55+08:00
21,562960,绿色电力ETF,1.13,1.1279,-0.19,0.028,2.54,71600.0,8022022.0,1.102,1.132,1.098,1.102,3.09,10.03,2.72,90.28,42604.0,28996.0,866910.0,10.81,891909.0,11.12,-24999.0,-0.31,-598259.0,-7.46,-268650.0,-3.35,27.0,1.129,1.13,71391000.0,80671830,80671830,2024-06-28,2024-06-28 16:11:49+08:00
