date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-04-20,sh.605117,39.2900,47.1500,39.2900,47.1500,32.7400,386447,18219427.6300,3,0.905700,1,44.013400,0
2021-04-21,sh.605117,51.8700,51.8700,51.8700,51.8700,47.1500,124800,6473376.0000,3,0.292500,1,10.010600,0
2021-04-22,sh.605117,57.0600,57.0600,57.0600,57.0600,51.8700,64774,3696004.4400,3,0.151800,1,10.005800,0
2021-04-23,sh.605117,62.7700,62.7700,62.7700,62.7700,57.0600,392592,24642999.8400,3,0.920100,1,10.007000,0
2021-04-26,sh.605117,69.0500,69.0500,56.7200,57.6400,62.7700,23937620,1511622241.1300,3,56.103400,1,-8.172700,0
2021-04-27,sh.605117,55.6400,56.0000,51.8800,52.0400,57.6400,16265882,863761592.6500,3,38.122900,1,-9.715500,0
2021-04-28,sh.605117,50.0000,52.0000,49.4200,50.3200,52.0400,8970213,453476521.8300,3,21.023800,1,-3.305100,0
2021-04-29,sh.605117,50.0800,52.5000,50.0800,51.3300,50.3200,7852170,404392081.6500,3,18.403400,1,2.007200,0
2021-04-30,sh.605117,51.0000,51.0200,47.4300,47.7500,51.3300,8838598,431102998.3500,3,20.715300,1,-6.974500,0
2021-05-06,sh.605117,46.9500,49.0800,46.3600,48.1800,47.7500,5635799,271033611.3600,3,13.208800,1,0.900500,0
2021-05-07,sh.605117,48.1900,49.2000,47.3100,47.4500,48.1800,5349234,258081323.5400,3,12.537200,1,-1.515200,0
2021-05-10,sh.605117,50.8300,52.2000,50.8300,52.2000,47.4500,2732117,141296202.0100,3,6.403300,1,10.010500,0
2021-05-11,sh.605117,57.4200,57.4200,57.4200,57.4200,52.2000,1003564,57624644.8800,3,2.352100,1,10.000000,0
2021-05-12,sh.605117,63.1600,63.1600,61.6200,63.1600,57.4200,18454291,1164236645.8000,3,43.251900,1,9.996500,0
