datetime,open,high,low,close,volume,amount,pre_close
2019-09-09,1.069,1.133,1.057,1.123,461414577,500161632.0,1.053
2019-09-10,1.133,1.135,1.078,1.088,836776635,915766592.0,1.123
2019-09-11,1.094,1.095,1.067,1.072,422586630,455977408.0,1.088
2019-09-12,1.075,1.083,1.069,1.082,230615500,248350016.0,1.072
2019-09-16,1.085,1.095,1.071,1.085,261575234,283548352.0,1.082
2019-09-17,1.08,1.08,1.048,1.056,422728002,448954176.0,1.085
2019-09-18,1.059,1.064,1.051,1.056,206378291,218270656.0,1.056
2019-09-19,1.057,1.082,1.055,1.081,283289655,302721760.0,1.056
2019-09-20,1.084,1.096,1.08,1.081,284140216,308832896.0,1.081
2019-09-23,1.076,1.082,1.065,1.082,171509789,183862880.0,1.081
2019-09-24,1.082,1.107,1.08,1.098,326865380,358410496.0,1.082
2019-09-25,1.09,1.09,1.063,1.066,270499280,290541280.0,1.098
2019-09-26,1.067,1.072,1.019,1.021,470137100,489070656.0,1.066
2019-09-27,1.016,1.042,1.016,1.035,168927690,174446832.0,1.021
2019-09-30,1.03,1.04,1.014,1.019,159463200,162997504.0,1.035
2019-10-08,1.02,1.024,0.999,1.0,179029900,180899632.0,1.019
2019-10-09,0.998,1.011,0.981,1.01,161889000,161721152.0,1.0
2019-10-10,1.012,1.036,1.01,1.034,216781200,222600288.0,1.01
2019-10-11,1.036,1.038,1.022,1.032,124447289,128180056.0,1.034
2019-10-14,1.042,1.051,1.041,1.043,151508489,158405040.0,1.032
2019-10-15,1.041,1.042,1.016,1.017,136472589,139592112.0,1.043
2019-10-16,1.018,1.022,1.007,1.008,118038300,119730952.0,1.017
2019-10-17,1.008,1.014,1.003,1.011,73090800,73780152.0,1.008
2019-10-18,1.012,1.021,0.995,0.999,160001200,160974208.0,1.011
2019-10-21,0.996,0.996,0.976,0.991,146922900,144705104.0,0.999
2019-10-22,0.991,1.005,0.991,1.005,95358600,95350056.0,0.991
2019-10-23,1.006,1.009,0.998,0.998,104718900,105092136.0,1.005
2019-10-24,0.997,1.0,0.986,0.995,72045000,71598504.0,0.998
2019-10-25,0.994,1.008,0.985,1.005,108279600,107904360.0,0.995
2019-10-28,1.025,1.029,1.013,1.028,180912900,185014464.0,1.005
2019-10-29,1.027,1.03,1.01,1.01,134884800,137560672.0,1.028
2019-10-30,1.003,1.014,0.993,1.003,103883700,104173568.0,1.01
2019-10-31,1.006,1.013,0.996,0.998,78767000,79055472.0,1.003
2019-11-01,0.996,1.01,0.994,1.006,86783636,87131752.0,0.998
2019-11-04,1.011,1.031,1.008,1.022,186626086,190815824.0,1.006
2019-11-05,1.028,1.028,1.014,1.025,83750100,85654784.0,1.022
2019-11-06,1.021,1.028,1.008,1.01,77132600,78409216.0,1.025
2019-11-07,1.009,1.019,1.009,1.016,45251100,45894476.0,1.01
2019-11-08,1.022,1.036,1.02,1.022,160640950,165253168.0,1.016
2019-11-11,1.018,1.019,0.995,0.998,137922700,138462416.0,1.022
2019-11-12,0.999,1.002,0.976,0.992,146136900,144001168.0,0.998
2019-11-13,0.992,1.0,0.982,0.999,86558100,85957728.0,0.992
2019-11-14,0.995,1.015,0.993,1.009,127440012,128003616.0,0.999
2019-11-15,1.005,1.012,0.992,0.995,114728636,114942144.0,1.009
2019-11-18,0.993,1.0,0.989,0.998,51524600,51265912.0,0.995
2019-11-19,0.997,1.018,0.994,1.017,130496744,131741064.0,0.998
2019-11-20,1.015,1.019,1.006,1.008,85653444,86804240.0,1.017
2019-11-21,1.002,1.01,0.997,1.008,60865900,61052052.0,1.008
2019-11-22,1.006,1.03,0.999,1.004,175307288,177925936.0,1.008
2019-11-25,1.001,1.003,0.98,0.984,153659688,151569680.0,1.004
2019-11-26,0.987,0.993,0.98,0.985,74589182,73478512.0,0.984
2019-11-27,0.981,1.001,0.977,0.995,127874500,126807240.0,0.985
2019-11-28,0.992,1.003,0.991,0.993,60747400,60558284.0,0.995
2019-11-29,0.993,0.999,0.986,0.996,70904800,70390392.0,0.993
2019-12-02,0.998,1.009,0.996,1.003,94410200,94785184.0,0.996
2019-12-03,0.998,1.012,0.995,1.011,79921900,80154992.0,1.003
2019-12-04,1.004,1.011,1.0,1.008,67732667,68080192.0,1.011
2019-12-05,1.008,1.034,1.008,1.027,205313079,210353408.0,1.008
2019-12-06,1.027,1.036,1.023,1.036,94741604,97625056.0,1.027
2019-12-09,1.038,1.044,1.034,1.037,105735533,109812296.0,1.036
2019-12-10,1.032,1.054,1.03,1.052,120386047,125735960.0,1.037
2019-12-11,1.045,1.062,1.044,1.048,113327773,119390952.0,1.052
2019-12-12,1.05,1.065,1.047,1.055,114052806,120602232.0,1.048
2019-12-13,1.065,1.069,1.049,1.06,93062581,98320784.0,1.055
2019-12-16,1.062,1.079,1.059,1.078,122607988,131171624.0,1.06
2019-12-17,1.08,1.098,1.079,1.093,156437400,170652928.0,1.078
2019-12-18,1.1,1.11,1.09,1.092,114518204,125995296.0,1.093
2019-12-19,1.093,1.099,1.081,1.089,84500904,91896696.0,1.092
2019-12-20,1.087,1.092,1.068,1.068,65530500,70653232.0,1.089
2019-12-23,1.06,1.061,1.036,1.038,92922800,97411408.0,1.068
2019-12-24,1.043,1.055,1.039,1.055,51583131,53980828.0,1.038
2019-12-25,1.051,1.072,1.046,1.066,76214831,81086616.0,1.055
2019-12-26,1.066,1.071,1.06,1.07,41535800,44285840.0,1.066
2019-12-27,1.07,1.08,1.054,1.059,55916600,59719764.0,1.07
2019-12-30,1.048,1.066,1.032,1.066,53227600,56103512.0,1.059
2019-12-31,1.065,1.075,1.06,1.07,51439800,55051416.0,1.066
2020-01-02,1.078,1.092,1.069,1.088,121677000,132095344.0,1.07
2020-01-03,1.094,1.104,1.086,1.094,109191600,119672144.0,1.088
2020-01-06,1.085,1.115,1.082,1.103,123640845,136201184.0,1.094
2020-01-07,1.103,1.11,1.096,1.109,60217845,66523720.0,1.103
2020-01-08,1.103,1.106,1.083,1.088,106279600,116311544.0,1.109
2020-01-09,1.096,1.124,1.095,1.124,90563500,100851272.0,1.088
2020-01-10,1.13,1.136,1.117,1.127,61490900,69222776.0,1.124
2020-01-13,1.127,1.155,1.12,1.153,72004800,81734960.0,1.127
2020-01-14,1.154,1.157,1.135,1.137,61759400,70642512.0,1.153
2020-01-15,1.136,1.145,1.126,1.139,53900100,61092304.0,1.137
2020-01-16,1.139,1.15,1.135,1.139,46516600,53104252.0,1.139
2020-01-17,1.146,1.155,1.137,1.141,53178000,60939956.0,1.139
2020-01-20,1.148,1.178,1.143,1.178,62289685,72592040.0,1.141
2020-01-21,1.177,1.184,1.163,1.166,61676085,72401776.0,1.178
2020-01-22,1.156,1.193,1.141,1.186,92244700,107403264.0,1.166
2020-01-23,1.174,1.18,1.118,1.137,118373000,135885504.0,1.186
2020-02-03,1.026,1.05,1.023,1.023,127041300,130731152.0,1.137
2020-02-04,1.027,1.041,1.007,1.037,316438600,325112544.0,1.023
2020-02-05,1.04,1.075,1.034,1.05,185278400,195235616.0,1.037
2020-02-06,1.05,1.08,1.04,1.073,139223752,148063120.0,1.05
2020-02-07,1.071,1.09,1.065,1.089,108038300,116568984.0,1.073
2020-02-10,1.086,1.098,1.079,1.096,80329344,87551000.0,1.089
2020-02-11,1.101,1.108,1.086,1.097,71012552,77969968.0,1.096
2020-02-12,1.091,1.115,1.087,1.115,84234403,92789080.0,1.097
2020-02-13,1.113,1.125,1.099,1.106,79659200,88471928.0,1.115
2020-02-14,1.101,1.127,1.098,1.107,95983986,106679704.0,1.106
2020-02-17,1.12,1.175,1.12,1.174,160888250,184245728.0,1.107
2020-02-18,1.172,1.182,1.155,1.182,109604316,128282040.0,1.174
2020-02-19,1.178,1.204,1.168,1.176,104662020,124136368.0,1.182
2020-02-20,1.179,1.205,1.166,1.205,94142917,112027264.0,1.176
2020-02-21,1.21,1.252,1.205,1.245,105726880,130179984.0,1.205
2020-02-24,1.272,1.355,1.259,1.352,360151735,473944960.0,1.245
2020-02-25,1.335,1.396,1.266,1.388,572821800,768470464.0,1.352
2020-02-26,1.356,1.373,1.285,1.296,366668700,489399680.0,1.388
2020-02-27,1.31,1.33,1.261,1.299,311404887,405413568.0,1.296
2020-02-28,1.225,1.26,1.201,1.215,333166926,410926848.0,1.299
2020-03-02,1.244,1.316,1.222,1.296,374757100,477912704.0,1.215
2020-03-03,1.356,1.364,1.266,1.288,520212827,687399808.0,1.296
2020-03-04,1.263,1.293,1.23,1.271,326512546,412467808.0,1.288
2020-03-05,1.314,1.323,1.257,1.278,366314710,471180032.0,1.271
2020-03-06,1.247,1.28,1.241,1.265,182559538,230455184.0,1.278
2020-03-09,1.244,1.291,1.23,1.23,353327653,445286496.0,1.265
2020-03-10,1.235,1.338,1.203,1.332,642137600,820589824.0,1.23
