datetime,open,high,low,close,volume,amount,pre_close
2010-06-01,2.154,2.189,2.123,2.14,20648829,44159532.0,2.162
2010-06-02,2.14,2.141,2.11,2.138,11103931,23578176.0,2.14
2010-06-03,2.131,2.175,2.131,2.137,88489166,191041344.0,2.138
2010-06-04,2.135,2.137,2.115,2.136,4454980,9480648.0,2.137
2010-06-07,2.115,2.115,2.077,2.081,10687133,22331180.0,2.136
2010-06-08,2.078,2.1,2.075,2.086,10764179,22492342.0,2.081
2010-06-09,2.099,2.152,2.08,2.145,26520286,56023140.0,2.086
2010-06-10,2.137,2.14,2.12,2.125,4789655,10189372.0,2.145
2010-06-11,2.137,2.143,2.131,2.139,6267163,13395980.0,2.125
2010-06-17,2.146,2.15,2.12,2.122,6235887,13316900.0,2.139
2010-06-18,2.111,2.128,2.094,2.1,5078397,10716085.0,2.122
2010-06-21,2.1,2.151,2.092,2.147,12531246,26700636.0,2.1
2010-06-22,2.143,2.151,2.133,2.143,8343166,17876496.0,2.147
2010-06-23,2.139,2.144,2.111,2.123,3639350,7751840.0,2.143
2010-06-24,2.13,2.15,2.112,2.131,4105709,8748822.0,2.123
2010-06-25,2.125,2.144,2.109,2.117,5559668,11781490.0,2.131
2010-06-28,2.109,2.123,2.104,2.11,3817048,8066308.5,2.117
2010-06-29,2.115,2.117,2.01,2.021,11220842,23025454.0,2.11
2010-06-30,2.01,2.013,1.994,1.995,9128174,18275376.0,2.021
2010-07-01,1.983,2.005,1.968,1.97,4883833,9714465.0,1.995
2010-07-02,1.979,1.994,1.938,1.979,10965714,21549240.0,1.97
2010-07-05,1.968,1.999,1.939,1.961,8841257,17351384.0,1.979
2010-07-06,1.955,2.007,1.954,2.006,64715995,128560216.0,1.961
2010-07-07,2.008,2.008,1.972,2.006,12488158,24938546.0,2.006
2010-07-08,2.01,2.023,1.995,2.006,5364272,10779051.0,2.006
2010-07-09,2.009,2.066,1.991,2.06,8959741,18295622.0,2.006
2010-07-12,2.064,2.101,2.052,2.086,13118058,27310204.0,2.06
2010-07-13,2.084,2.084,2.044,2.054,6789790,13957888.0,2.086
2010-07-14,2.058,2.09,2.058,2.069,13772953,28516686.0,2.054
2010-07-15,2.059,2.079,2.011,2.012,5880793,12010420.0,2.049
2010-07-16,2.007,2.025,1.98,2.024,9009355,18037214.0,2.012
2010-07-19,2.01,2.08,2.002,2.069,30767144,63217020.0,2.024
2010-07-20,2.065,2.109,2.065,2.107,16642886,34876736.0,2.069
2010-07-21,2.1,2.125,2.097,2.109,21069396,44525364.0,2.107
2010-07-22,2.1,2.133,2.09,2.128,12149219,25780976.0,2.109
2010-07-23,2.128,2.149,2.122,2.139,25585822,54596708.0,2.128
2010-07-26,2.137,2.148,2.115,2.141,11802174,25162448.0,2.139
2010-07-27,2.138,2.143,2.124,2.133,6037422,12887034.0,2.141
2010-07-28,2.13,2.187,2.118,2.184,26490047,57360096.0,2.133
2010-07-29,2.183,2.212,2.18,2.2,23404194,51377248.0,2.184
2010-07-30,2.199,2.199,2.166,2.187,18247238,39827120.0,2.2
2010-08-02,2.188,2.239,2.176,2.225,31316372,69108968.0,2.187
2010-08-03,2.228,2.23,2.188,2.19,18702248,41412812.0,2.225
2010-08-04,2.184,2.215,2.152,2.201,29612301,64586820.0,2.19
2010-08-05,2.198,2.198,2.151,2.164,13474854,29239058.0,2.201
2010-08-06,2.159,2.201,2.141,2.2,36574997,79549024.0,2.164
2010-08-09,2.205,2.209,2.185,2.202,20086727,44156956.0,2.2
2010-08-10,2.202,2.212,2.143,2.144,20094049,43990076.0,2.202
2010-08-11,2.14,2.161,2.14,2.149,12554055,26973248.0,2.144
2010-08-12,2.136,2.149,2.121,2.123,7227199,15437452.0,2.149
2010-08-13,2.123,2.155,2.118,2.149,7402694,15793197.0,2.123
2010-08-16,2.15,2.202,2.138,2.197,12553476,27435774.0,2.149
2010-08-17,2.202,2.209,2.188,2.2,8201763,18030370.0,2.197
2010-08-18,2.199,2.211,2.186,2.191,12974236,28487632.0,2.2
2010-08-19,2.193,2.215,2.184,2.202,8479533,18666792.0,2.191
2010-08-20,2.188,2.204,2.165,2.176,34164710,74429512.0,2.202
2010-08-23,2.158,2.179,2.15,2.155,22678631,48842648.0,2.176
2010-08-24,2.155,2.185,2.138,2.163,16914582,36663092.0,2.155
2010-08-25,2.158,2.162,2.108,2.112,8797883,18755298.0,2.163
2010-08-26,2.113,2.132,2.113,2.115,5945399,12613864.0,2.112
2010-08-27,2.114,2.127,2.101,2.124,4461086,9449840.0,2.115
2010-08-30,2.134,2.162,2.134,2.155,12765001,27482204.0,2.124
2010-08-31,2.15,2.152,2.132,2.137,6395080,13694830.0,2.155
2010-09-01,2.139,2.174,2.126,2.134,15785043,33879300.0,2.137
2010-09-02,2.158,2.158,2.141,2.156,15647526,33651292.0,2.134
2010-09-03,2.151,2.157,2.133,2.144,9345008,20012698.0,2.156
2010-09-06,2.156,2.199,2.15,2.194,18647430,40574808.0,2.144
2010-09-07,2.199,2.204,2.181,2.191,9044573,19836990.0,2.194
2010-09-08,2.181,2.186,2.17,2.183,7262467,15803778.0,2.191
2010-09-09,2.185,2.185,2.145,2.154,10648646,22989160.0,2.183
2010-09-10,2.155,2.17,2.127,2.147,6517595,13949758.0,2.154
2010-09-13,2.146,2.168,2.139,2.164,8345734,17984520.0,2.147
2010-09-14,2.164,2.175,2.15,2.158,8984861,19410660.0,2.164
2010-09-15,2.156,2.158,2.131,2.133,3824827,8200070.5,2.158
2010-09-16,2.129,2.139,2.072,2.082,8497632,17836174.0,2.133
2010-09-17,2.09,2.097,2.076,2.078,3153463,6577532.5,2.082
2010-09-20,2.085,2.093,2.071,2.081,4409644,9186541.0,2.078
2010-09-21,2.089,2.09,2.076,2.082,2705771,5627402.0,2.081
2010-09-27,2.083,2.1,2.082,2.1,3982055,8327653.0,2.082
2010-09-28,2.1,2.1,2.076,2.079,1656828,3456630.5,2.1
2010-09-29,2.08,2.102,2.079,2.084,3605537,7539360.5,2.079
2010-09-30,2.079,2.13,2.075,2.121,6884454,14528864.0,2.084
2010-10-08,2.14,2.196,2.131,2.186,10905850,23699386.0,2.121
2010-10-11,2.19,2.265,2.19,2.25,23239537,52065888.0,2.186
2010-10-12,2.248,2.28,2.232,2.273,16077043,36272716.0,2.25
2010-10-13,2.274,2.296,2.26,2.29,12141761,27732838.0,2.273
2010-10-14,2.303,2.343,2.302,2.322,19508059,45283120.0,2.29
2010-10-15,2.303,2.416,2.3,2.415,32683278,77582560.0,2.322
2010-10-18,2.429,2.48,2.4,2.41,87402731,213003168.0,2.415
2010-10-19,2.41,2.445,2.39,2.445,20387948,49264524.0,2.41
2010-10-20,2.41,2.475,2.398,2.45,77359064,189149952.0,2.445
2010-10-21,2.453,2.465,2.408,2.422,51231982,124618632.0,2.45
2010-10-22,2.4,2.419,2.388,2.396,13921724,33435866.0,2.401
2010-10-25,2.394,2.452,2.39,2.451,31763809,77352368.0,2.396
2010-10-26,2.452,2.465,2.419,2.431,14565755,35537412.0,2.451
2010-10-27,2.419,2.453,2.411,2.417,30495140,74419896.0,2.431
2010-10-28,2.407,2.428,2.4,2.417,15229484,36801064.0,2.417
2010-10-29,2.418,2.425,2.375,2.381,34481025,82729912.0,2.417
2010-11-01,2.382,2.451,2.382,2.449,40270029,98075272.0,2.381
2010-11-02,2.445,2.472,2.38,2.436,37476073,91482504.0,2.449
2010-11-03,2.43,2.45,2.416,2.419,50121765,121986080.0,2.436
2010-11-04,2.419,2.46,2.419,2.453,23368468,57125464.0,2.419
2010-11-05,2.48,2.496,2.461,2.478,22289099,55222120.0,2.453
2010-11-08,2.485,2.514,2.475,2.508,10075955,25155282.0,2.478
