,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
0,2025-04-11,000985,中证全指,CSI All Share,000001,平安银行,"Ping An Bank Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
1,2025-04-11,000985,中证全指,CSI All Share,000002,万科A,China Vanke Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2,2025-04-11,000985,中证全指,CSI All Share,000004,国华网安,"Shenzhen GuoHua Network Security Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
3,2025-04-11,000985,中证全指,CSI All Share,000006,深振业A,Shenzhen Zhenye (Group) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
4,2025-04-11,000985,中证全指,CSI All Share,000007,全新好,"Shenzhen Quanxinhao Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
5,2025-04-11,000985,中证全指,CSI All Share,000008,神州高铁,"China High-Speed Railway Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
6,2025-04-11,000985,中证全指,CSI All Share,000009,中国宝安,"China Baoan Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
7,2025-04-11,000985,中证全指,CSI All Share,000010,美丽生态,"SHENZHEN ECOBEAUTY CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
8,2025-04-11,000985,中证全指,CSI All Share,000011,深物业A,Shenzhen Properties & Resources Development (Group) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
9,2025-04-11,000985,中证全指,CSI All Share,000012,南  玻A,CSG Holding Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
10,2025-04-11,000985,中证全指,CSI All Share,000014,沙河股份,Shahe Industrial Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
11,2025-04-11,000985,中证全指,CSI All Share,000016,深康佳A,Konka Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
12,2025-04-11,000985,中证全指,CSI All Share,000017,深中华A,Shenzhen China Bicycles Co (Holdings) Ltd,深圳证券交易所,Shenzhen Stock Exchange
13,2025-04-11,000985,中证全指,CSI All Share,000019,深粮控股,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
14,2025-04-11,000985,中证全指,CSI All Share,000020,深华发A,"Shenzhen Zhongheng Huafa Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
15,2025-04-11,000985,中证全指,CSI All Share,000021,深科技,"Shenzhen Kaifa Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
16,2025-04-11,000985,中证全指,CSI All Share,000025,特力A,Shenzhen Tellus Holding Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
17,2025-04-11,000985,中证全指,CSI All Share,000026,飞亚达,"FIYTA Precision Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
18,2025-04-11,000985,中证全指,CSI All Share,000027,深圳能源,Shenzhen Energy Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
19,2025-04-11,000985,中证全指,CSI All Share,000028,国药一致,China National Accord Medicines Corporation Ltd.,深圳证券交易所,Shenzhen Stock Exchange
20,2025-04-11,000985,中证全指,CSI All Share,000029,深深房A,"Shenzhen Special Economic Zone Real Estate and Properties (Group) Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
21,2025-04-11,000985,中证全指,CSI All Share,000030,富奥股份,FAWER Automotive Parts Company,深圳证券交易所,Shenzhen Stock Exchange
22,2025-04-11,000985,中证全指,CSI All Share,000031,大悦城,"Grandjoy Holdings Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
23,2025-04-11,000985,中证全指,CSI All Share,000032,深桑达A,Shenzhen SED Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
24,2025-04-11,000985,中证全指,CSI All Share,000034,神州数码,"Digital China Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
25,2025-04-11,000985,中证全指,CSI All Share,000035,中国天楹,China Tianying Inc.,深圳证券交易所,Shenzhen Stock Exchange
26,2025-04-11,000985,中证全指,CSI All Share,000036,华联控股,China Union Holdings Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
27,2025-04-11,000985,中证全指,CSI All Share,000037,深南电A,Shenzhen Nanshan Power Company Limited,深圳证券交易所,Shenzhen Stock Exchange
28,2025-04-11,000985,中证全指,CSI All Share,000039,中集集团,China International Marine Containers (Group) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
29,2025-04-11,000985,中证全指,CSI All Share,000042,中洲控股,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
30,2025-04-11,000985,中证全指,CSI All Share,000045,深纺织A,Shenzhen Textile (Holdings) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
31,2025-04-11,000985,中证全指,CSI All Share,000048,京基智农,"SHENZHEN KINGKEY SMART AGRICULTURE TIMES CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
