code,date,open,close,high,low,volume,amount,adjfactor,tradestatus,rn,daily_return,cumulative_return,ma20,ma60,volatility,rolling_max,drawdown
sz.399101,2010-01-04,5848.813,5843.188,5883.992,5820.17,1425476042,27589691314.18,1.0,1,3643,,,,,,5843.188,0.0
sz.399101,2010-01-05,5844.253,5920.818,5920.818,5810.215,1624169958,31044016843.25,1.0,1,3642,0.013285555761683554,0.013285555761683554,,,,5920.818,0.0
sz.399101,2010-01-06,5914.138,5899.335,5959.758,5891.746,1527242778,30055010225.78,1.0,1,3641,-0.003628383780754696,0.009608966885884751,,,,5920.818,-0.003628383780754648
sz.399101,2010-01-07,5886.834,5761.926,5904.399,5740.446,1521496917,30236653952.31,1.0,1,3640,-0.02329228633396807,-0.013907134256162967,,,,5920.818,-0.026836156760771876
sz.399101,2010-01-08,5734.57,5820.201,5820.201,5710.217,1140489962,22032800287.95,1.0,1,3639,0.010113805696220224,-0.003933982613600784,,,,5920.818,-0.01699376673966337
sz.399101,2010-01-11,5842.234,5871.889,5878.289,5787.643,1558514546,29958444314.79,1.0,1,3638,0.008880792948559701,0.0049118734499042915,,,,5920.818,-0.008263891914934741
sz.399101,2010-01-12,5869.582,6008.244,6008.244,5865.067,1891804906,37710441139.53,1.0,1,3637,0.02322165831132028,0.02824759360814677,,,,6008.244,0.0
sz.399101,2010-01-13,5884.918,5981.65,6041.668,5866.863,1928666707,40072804834.23,1.0,1,3636,-0.004426251663547598,0.023696310986399904,,,,6008.244,-0.004426251663547627
sz.399101,2010-01-14,5989.847,6137.264,6137.264,5989.847,1933136872,39198713814.48,1.0,1,3635,0.02601522991147931,0.05032800587624431,,,,6137.264,0.0
sz.399101,2010-01-15,6154.991,6189.967,6191.083,6139.692,1767453660,36305118235.52,1.0,1,3634,0.008587377046188616,0.05934756848487499,,,,6189.967,0.0
sz.399101,2010-01-18,6179.538,6260.938,6261.336,6168.289,1606585100,32883955658.37,1.0,1,3633,0.01146548923443369,0.07149350662686182,,,,6260.938,0.0
sz.399101,2010-01-19,6266.354,6218.918,6270.627,6185.349,1618273568,33192625311.9,1.0,1,3632,-0.00671145441785248,0.06430222679811082,,,,6260.938,-0.006711454417852474
sz.399101,2010-01-20,6216.259,5944.265,6218.512,5921.78,1883197131,38728265233.03,1.0,1,3631,-0.04416411343580984,0.017298262523814056,,,,6260.938,-0.050579162419432964
sz.399101,2010-01-21,5927.494,5968.72,5999.696,5898.077,1219139162,24198020678.62,1.0,1,3630,0.004114049424108757,0.021483477854896904,,,,6260.938,-0.046673198169347764
sz.399101,2010-01-22,5906.201,5792.916,5906.201,5684.087,1427489673,28223678402.09,1.0,1,3629,-0.02945422134058895,-0.00860352259759578,,,,6260.938,-0.07475269680038357
sz.399101,2010-01-25,5748.732,5738.527,5823.631,5732.825,884505782,17233938683.29,1.0,1,3628,-0.009388881178321928,-0.017911626324533914,,,,6260.938,-0.0834397337906876
sz.399101,2010-01-26,5745.12,5569.463,5772.45,5521.987,1127445473,22431663640.62,1.0,1,3627,-0.02946121888073372,-0.046845146861610676,,,,6260.938,-0.11044271641086373
sz.399101,2010-01-27,5565.624,5532.073,5625.003,5480.352,904091765,17496888090.74,1.0,1,3626,-0.006713394092033531,-0.05324405102146301,,,,6260.938,-0.11641466502303645
sz.399101,2010-01-28,5528.706,5603.215,5619.408,5509.628,901188005,18087438445.25,1.0,1,3625,0.012859917069062421,-0.04106884803295752,,,,6260.938,-0.10505183089179289
sz.399101,2010-01-29,5580.312,5665.326,5724.386,5567.151,1006943399,20013899300.89,1.0,1,3624,0.011084886087719292,-0.03043920544743739,5886.44215,,,6260.938,-0.09513143238281549
sz.399101,2010-02-01,5653.509,5561.01,5657.124,5508.374,996134540,19184143693.88,1.0,1,3623,-0.01841306219624428,-0.04829178866057371,5872.333250000001,,0.2993588890386239,6260.938,-0.11179283359777718
sz.399101,2010-02-02,5571.629,5513.338,5639.704,5510.796,901866574,17509707352.89,1.0,1,3622,-0.008572543476814576,-0.056450348679522366,5851.959250000001,,0.29427585930063144,6260.938,-0.1194070281481785
sz.399101,2010-02-03,5515.276,5576.125,5576.125,5326.146,1139019163,21479722619.27,1.0,1,3621,0.011388200759685052,-0.04570501582355391,5835.79875,,0.2989084182303655,6260.938,-0.1093786585971623
sz.399101,2010-02-04,5555.596,5581.09,5631.217,5517.005,1073206906,19862271553.74,1.0,1,3620,0.0008904032818490837,-0.044855308437791064,5826.75695,,0.28890983177231966,6260.938,-0.10858564643189246
sz.399101,2010-02-05,5462.597,5462.779,5533.694,5421.424,1087214509,21105650201.1,1.0,1,3619,-0.021198547237188392,-0.06510298830022232,5808.88585,,0.29365110053349014,6260.938,-0.12748233571391374
sz.399101,2010-02-08,5455.143,5466.083,5495.143,5435.007,698505771,13935535779.04,1.0,1,3618,0.0006048203670694363,-0.06453754354643393,5788.59555,,0.290664426487065,6260.938,-0.12695461925992566
sz.399101,2010-02-09,5458.53,5472.772,5494.87,5438.22,668159990,12532227521.53,1.0,1,3617,0.0012237282163480856,-0.06339279174313739,5761.8219500000005,,0.273935681868167,6260.938,-0.12588624899336173
sz.399101,2010-02-10,5497.572,5562.146,5562.146,5497.572,724463254,14195645761.42,1.0,1,3616,0.016330663875637308,-0.04809737424159555,5740.84675,,0.283756039551229,6260.938,-0.11161139113659972
sz.399101,2010-02-11,5560.856,5555.947,5583.317,5549.806,629978861,12518573345.31,1.0,1,3615,-0.0011144978934388705,-0.049158267712762216,5711.7809,,0.2618553379412124,6260.938,-0.1126014983697331
sz.399101,2010-02-12,5562.004,5643.116,5646.885,5562.004,610625743,12359167368.22,1.0,1,3614,0.015689314530898057,-0.034240212705803796,5684.438349999999,,0.2678279411886279,6260.938,-0.09867882416340812
sz.399101,2010-02-22,5633.313,5625.575,5664.992,5615.904,693620301,13483445684.17,1.0,1,3613,-0.003108389053140148,-0.03724216985659201,5652.6702000000005,,0.2612370254374792,6260.938,-0.10148048103974201
sz.399101,2010-02-23,5626.014,5650.961,5650.961,5539.803,825792868,15945923085.25,1.0,1,3612,0.0045126053781170405,-0.032897623694462585,5624.27235,,0.2634080821343357,6260.938,-0.09742581702613887
sz.399101,2010-02-24,5635.145,5796.477,5796.477,5611.661,1150185992,22508148330.24,1.0,1,3611,0.025750664356027242,-0.00799409500430237,5616.88295,,0.2401692325739295,6260.938,-0.07418393218396353
sz.399101,2010-02-25,5808.773,5901.202,5903.861,5808.773,1435320990,28619118137.64,1.0,1,3610,0.01806700863300259,0.009928484245244507,5613.50705,,0.2491629425653248,6260.938,-0.05745720529415878
sz.399101,2010-02-26,5892.551,5907.483,5929.778,5873.423,1295569325,25295600033.28,1.0,1,3609,0.0010643594305024262,0.011003411151583986,5619.2354,,0.22436194589022423,6260.938,-0.056454000981961475
sz.399101,2010-03-01,5905.716,5965.804,5967.399,5905.716,1317531231,26295542732.59,1.0,1,3608,0.009872394046669175,0.020984435208999175,5630.59925,,0.22286010159059338,6260.938,-0.047138943078497184
