start_date,end_date,phase_type,duration_days,total_return,max_drawdown,volatility
2010-03-25,2010-04-12,bull,18,0.10231515769587649,0.0,0.1111847766161419
2010-06-24,2010-07-05,bear,11,-0.11963391813514936,-0.11963391813514936,0.2545356569623114
2010-07-15,2010-07-29,bull,14,0.1176053151031516,0.0,0.23518030506671403
2011-05-18,2011-05-30,bear,12,-0.1014278779317325,-0.1014278779317325,0.1932281936968501
2011-08-26,2011-09-06,bear,11,-0.06986160564195006,-0.06986160564195006,0.11056089060887085
2011-09-27,2011-10-11,bear,14,-0.054120900816434114,-0.054120900816434114,0.17650514671447387
2011-10-21,2011-11-04,bull,14,0.11644522908306153,0.0,0.19570139786196747
2012-02-17,2012-02-27,bull,10,0.056062011677928035,0.0,0.13656013499217173
2014-04-18,2014-04-28,bear,10,-0.07996560214738908,-0.07996560214738908,0.17498159230907798
2014-08-28,2014-09-10,bull,13,0.07357555124653115,0.0,0.11408198937434037
2014-09-22,2014-10-09,bull,17,0.06557354637932551,0.0,0.1217821257207762
2015-03-12,2015-03-25,bull,13,0.16235780135465738,0.0,0.1699602055214399
2015-03-26,2015-04-07,bull,12,0.11777499499650218,0.0,0.21687420930774323
2015-05-15,2015-05-27,bull,12,0.21754546411843528,0.0,0.2388775616559712
2015-09-29,2015-10-13,bull,14,0.11933720017555896,0.0,0.34038907623076614
2016-02-05,2016-02-17,bull,12,0.05691575783122269,0.0,0.3475298463571776
2017-04-13,2017-04-24,bear,11,-0.06404150004669601,-0.06404150004669601,0.1359031088869719
2018-02-09,2018-02-26,bull,17,0.08063026665127553,0.0,0.2987184834173337
2018-07-25,2018-08-06,bear,12,-0.10151339905306987,-0.10151339905306987,0.1391686242437458
2018-09-28,2018-10-16,bear,18,-0.13146933850051779,-0.13146933850051779,0.37986668545176877
2019-01-31,2019-02-14,bull,14,0.10066318568587647,0.0,0.24259112538109595
2019-08-30,2019-09-10,bull,11,0.07047003734420232,0.0,0.16087605391624923
2019-12-27,2020-01-07,bull,11,0.06386511210250462,0.0,0.13010847736885905
2020-01-22,2020-02-03,bear,12,-0.1145577344524067,-0.1145577344524067,0.7421376190448805
2020-06-29,2020-07-09,bull,10,0.16667826951432793,0.0,0.19927542392132097
2020-09-28,2020-10-13,bull,15,0.07851914282984478,0.0,0.2268574148416958
2021-02-05,2021-02-19,bull,14,0.06560309519096777,0.0,0.2067360231179983
2021-06-16,2021-06-28,bull,12,0.06192342373573009,0.0,0.1674322777220378
2022-04-01,2022-04-11,bear,10,-0.052918457378605434,-0.052918457378605434,0.23862309564970893
2022-05-27,2022-06-06,bull,10,0.060583649293860335,0.0,0.14784084331035818
2022-09-27,2022-10-10,bear,13,-0.06050833373567921,-0.06050833373567921,0.2848765875398107
2023-10-12,2023-10-23,bear,11,-0.06869575419511006,-0.06869575419511006,0.1291728163378686
2023-12-29,2024-01-08,bear,10,-0.05410764825355468,-0.05410764825355468,0.1732144805653049
2024-01-25,2024-02-05,bear,11,-0.1580761192563138,-0.1580761192563138,0.3327819093519542
2024-02-05,2024-02-27,bull,22,0.19979190185659335,0.0,0.34975806198235554
2024-09-20,2024-10-08,bull,18,0.3094779206495945,0.0,0.4860341328890377
