,报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
0,20241231,189398754000.0,189398754000.0,,,,,,160173123000.0,142278750000.0,,,,,,,,,8114856000.0,801048000.0,1077843000.0,5512281000.0,2388345000.0,2549562000.0,,2564181000.0,2556369000.0,,,,,,,,309901000.0,,,,17125000.0,31485448000.0,205453000.0,,111272000.0,,31579629000.0,6625603000.0,,24954026000.0,24954026000.0,,19322936000.0,,5631090000.0,-364736000.0,-363983000.0,-330944000.0,,-353000.0,-330591000.0,,-33039000.0,,,,,,,,,-33029000.0,,-753000.0,24589290000.0,18958953000.0,5630337000.0,1.46,1.46,定期报告,是,20250322,CNY,合并期末,2025-03-21T19:17:06
1,20240930,140412180000.0,140412180000.0,,,,,,117524721000.0,105055477000.0,,,,,,,,,5973501000.0,442012000.0,681312000.0,3492619000.0,1879800000.0,1952947000.0,,1721805000.0,1716772000.0,,,,,,,,229681000.0,,,,856000.0,24522382000.0,86736000.0,,82758000.0,,24526360000.0,5508397000.0,,19017963000.0,19017963000.0,,14614069000.0,,4403894000.0,-325306000.0,-324555000.0,-320647000.0,,-355000.0,-320292000.0,,-3908000.0,,,-3365000.0,,,,,,-543000.0,,-751000.0,18692657000.0,14289514000.0,4403143000.0,1.1,1.1,定期报告,未审计,20241024,CNY,合并期末,2024-10-23T18:52:04
2,20240630,92983870000.0,92983870000.0,,,,,,77150402000.0,68789726000.0,,,,,,,,,3986535000.0,282100000.0,418465000.0,2398327000.0,1275249000.0,1338603000.0,,1062701000.0,1057668000.0,,,,,,,,163187000.0,,,,-3126000.0,16725302000.0,63754000.0,,69175000.0,,16719881000.0,3919164000.0,,12800717000.0,12800717000.0,,9787792000.0,,3012925000.0,-336573000.0,-335848000.0,-320647000.0,,-355000.0,-320292000.0,,-15201000.0,,,,,,,,,-13172000.0,,-725000.0,12464144000.0,9451944000.0,3012200000.0,0.74,0.74,定期报告,未审计,20240824,CNY,合并期末,2024-08-23T17:52:05
3,20240331,45394500000.0,45394500000.0,,,,,,37250708000.0,33115104000.0,,,,,,,,,1925874000.0,121107000.0,165078000.0,1270621000.0,652924000.0,688510000.0,,444478000.0,444478000.0,,,,,,,,97645000.0,,,,-1911000.0,8695769000.0,25471000.0,,37624000.0,,8683616000.0,2055733000.0,,6627883000.0,6627883000.0,,4969520000.0,,1658363000.0,-22715000.0,-19713000.0,,,,,,-19713000.0,,,-2760000.0,,,,,,-16953000.0,,-3002000.0,6605168000.0,4949807000.0,1655361000.0,0.37,0.37,定期报告,未审计,20240425,CNY,合并期末,2024-04-24T17:17:05
4,20231231,192968833000.0,192968833000.0,,,,,,162823878000.0,144595336000.0,,,,,,,,,7815606000.0,916187000.0,1049523000.0,5452301000.0,2994925000.0,3064810000.0,,3004654000.0,2991763000.0,,,,,,,,314551000.0,,,,-18614000.0,33099450000.0,129074000.0,,179790000.0,,33048734000.0,7299934000.0,,25748800000.0,25748800000.0,,19534049000.0,,6214751000.0,-471280000.0,-470223000.0,-482507000.0,,-917000.0,-481590000.0,,12284000.0,,,,,,,,,7835000.0,,-1057000.0,25277520000.0,19063826000.0,6213694000.0,1.47,1.47,定期报告,是,20250322,CNY,合并期末,2024-03-20T17:47:03
5,20230930,156208514000.0,156208514000.0,,,,,,130958284000.0,118270925000.0,,,,,,,,,5779211000.0,497266000.0,699489000.0,3417405000.0,2293988000.0,2365485000.0,,2508065000.0,2507850000.0,,,,,,,,179764000.0,,,,-5244000.0,27879148000.0,89391000.0,,66969000.0,,27901570000.0,6142550000.0,,21759020000.0,21759020000.0,,16688039000.0,,5070981000.0,114370000.0,120264000.0,137734000.0,,-485000.0,138219000.0,,-17470000.0,,,-298000.0,,-5366000.0,,,,-11806000.0,,-5894000.0,21873390000.0,16808303000.0,5065087000.0,1.26,1.26,定期报告,未审计,20241024,CNY,合并期末,2024-10-23T18:52:04
6,20230630,109356726000.0,109356726000.0,,,,,,91120421000.0,82616901000.0,,,,,,,,,3933533000.0,321910000.0,455731000.0,2219109000.0,1573237000.0,1603092000.0,,1829663000.0,1829448000.0,,,,,,,,128707000.0,,,,-2323000.0,20137551000.0,52284000.0,,51914000.0,,20137921000.0,4484701000.0,,15653220000.0,15653220000.0,,11834895000.0,,3818325000.0,138953000.0,140076000.0,137246000.0,,-485000.0,137731000.0,,2830000.0,,,,,,,,,4510000.0,,-1123000.0,15792173000.0,11974971000.0,3817202000.0,0.89,0.89,定期报告,未审计,20240824,CNY,合并期末,2024-08-23T17:52:05
7,20230331,59158383000.0,59158383000.0,,,,,,48161679000.0,43876704000.0,,,,,,,,,2117387000.0,126761000.0,217585000.0,1080483000.0,742759000.0,713708000.0,,983862000.0,983862000.0,,,,,,,,50292000.0,,,,53000.0,12044597000.0,15314000.0,,22692000.0,,12037219000.0,2614602000.0,,9422617000.0,9422617000.0,,7155268000.0,,2267349000.0,-37774000.0,-30607000.0,,,,,,-30607000.0,,,-14435000.0,,-2357000.0,,,,-13815000.0,,-7167000.0,9384843000.0,7124661000.0,2260182000.0,0.54,0.54,定期报告,未审计,20240425,CNY,合并期末,2023-04-27T20:07:10
8,20221231,220576859000.0,220576859000.0,,,,,,183689845000.0,165158439000.0,,,,,,,,,7856727000.0,771490000.0,928768000.0,5246414000.0,3728007000.0,3856932000.0,,5035364000.0,4780387000.0,,,,,,,,252225000.0,,,,8774000.0,33165752000.0,273113000.0,,541602000.0,,32897263000.0,7498345000.0,,25398918000.0,25398918000.0,,18259055000.0,,7139863000.0,721894000.0,713646000.0,686016000.0,,-68349000.0,754365000.0,,27630000.0,,,,,,,,,4396000.0,,8248000.0,26120812000.0,18972701000.0,7148111000.0,1.38,1.38,定期报告,是,20240321,CNY,合并期末,2023-03-23T22:47:05
9,20220930,175344940000.0,175344940000.0,,,,,,143176204000.0,130148180000.0,,,,,,,,,5902572000.0,474165000.0,687439000.0,3041251000.0,2922597000.0,2979330000.0,,3928092000.0,3923456000.0,,,,,,,,148762000.0,,,,5011000.0,34335121000.0,102950000.0,,94726000.0,,34343345000.0,7554453000.0,,26788892000.0,26788892000.0,,19327686000.0,,7461206000.0,146618000.0,146221000.0,140180000.0,,,140180000.0,,6041000.0,,,12500000.0,,-899000.0,,,,-5560000.0,,397000.0,26935510000.0,19473907000.0,7461603000.0,1.46,1.46,定期报告,未审计,20231026,CNY,合并期末,2022-10-26T17:17:05
